,0
0,1160004101
1,1220027903
2,1220027903
3,1190002501
4,1220005401
5,1220005401
6,1240000705
7,1240000705
8,1070047400
9,1070047400
10,1000001505
11,1000001505
12,1130000401
13,1130000401
14,1130089600
15,1130089600
16,1140060800
17,1140060800
18,1020013304
19,1020013304
20,1150003100
21,1150003100
22,1210059700
23,1210059700
24,1220342700
25,1220342700
26,1000002602
27,1000002602
28,1220107500
29,1220107500
30,1170046701
31,1170046701
32,1030001401
33,1030001401
34,1210025103
35,1210025103
36,1230004800
37,1230004800
38,1060022300
39,1060022300
40,1210011700
41,1210011700
42,1100177401
43,1100177401
44,1170007901
45,1170007901
46,1230030701
47,1230030701
48,1160060400
49,1160060400
50,1140042700
51,1140042700
52,1200033600
53,1200033600
54,1130090200
55,1130090200
56,1100022803
57,1100022803
58,1040031100
59,1040031100
60,1220041200
61,1220041200
62,1230000700
63,1230000700
64,1150064700
65,1150064700
66,1150426900
67,1150426900
68,1100016903
69,1100016903
70,1140284401
71,1140284401
72,1050046100
73,1050046100
74,1030019202
75,1030019202
76,1130020505
77,1130020505
78,1120034800
79,1120034800
80,1220341700
81,1220341700
82,1040020202
83,1040020202
84,1130029803
85,1130029803
86,1220342900
87,1220342900
88,1130029804
89,1130029804
90,1140013602
91,1140013602
92,1150070700
93,1150070700
94,1040017600
95,1040017600
96,1220021203
97,1220021203
98,1120013604
99,1120013604
100,1030000304
101,1030000304
102,1210021103
103,1210021103
104,1100000203
105,1100000203
106,1020005006
107,1020005006
108,1180136601
109,1180108800
110,1180108800
111,1180136601
112,1220342700
113,1220342700
114,1120007600
115,1120007600
116,1140006602
117,1140006602
118,1220005502
119,1220005502
120,1220003104
121,1220003104
122,1210005301
123,1010016400
124,1010016400
125,1210005301
126,1010024602
127,1010024602
128,1030000304
129,1030000304
130,1040043000
131,1040043000
132,1120013902
133,1120013902
134,1220001803
135,1220001803
136,1020010701
137,1020010701
138,1120001700
139,1120001700
140,1020000902
141,1020000902
142,1020008105
143,1020008105
144,1200000702
145,1200000702
146,1200003401
147,1000004300
148,1000004300
149,1200003401
150,1000008801
151,1000008801
152,1040020201
153,1040020201
154,1040023300
155,1040023300
156,1220005100
157,1220005100
158,1180076102
159,1180076102
160,1140011300
161,1130000901
162,1130000901
163,1140280101
164,1140280101
165,1180119600
166,1180119600
167,1130000901
168,1130000901
169,1210027101
170,1210027101
171,1180015302
172,1180015302
173,1180015302
174,1180015302
