date,temp,rain,wind_spd,wind_dir,humid,vaper_press,dew_point,local_press,sea_press,sunshine,insolation,snow,cloud,low-mid_cloud,visibility,ground_temp,phenomena,count
2020-06-01 00:00:00,17.6,0.8,2.5,290,92,18.4,16.2,1000.4,1010.4,0.0,0.0,0.0,10,9,170,18.3,19,1
2020-06-01 00:00:00,17.6,0.8,2.5,290,92,18.4,16.2,1000.4,1010.4,0.0,0.0,0.0,10,9,170,18.3,1,1
2020-06-01 01:00:00,17.7,0.3,2.9,290,91,18.4,16.2,1000.2,1010.2,0.0,0.0,0.0,10,9,1089,18.0,19,0
2020-06-01 01:00:00,17.7,0.3,2.9,290,91,18.4,16.2,1000.2,1010.2,0.0,0.0,0.0,10,9,1089,18.0,1,0
2020-06-01 02:00:00,17.5,0.0,3.2,290,91,18.2,16.0,999.9,1009.9,0.0,0.0,0.0,10,9,1203,17.8,1,0
2020-06-01 03:00:00,17.1,0.0,3.2,290,91,17.7,15.6,999.7,1009.7,0.0,0.0,0.0,10,10,712,17.5,19,0
2020-06-01 04:00:00,17.0,0.0,3.3,290,92,17.7,15.6,999.8,1009.8,0.0,0.0,0.0,10,10,917,17.4,2,0
2020-06-01 04:00:00,17.0,0.0,3.3,290,92,17.7,15.6,999.8,1009.8,0.0,0.0,0.0,10,10,917,17.4,19,0
2020-06-01 05:00:00,16.9,0.0,3.4,270,93,17.8,15.7,999.5,1009.5,0.0,0.0,0.0,10,10,712,17.3,19,0
2020-06-01 05:00:00,16.9,0.0,3.4,270,93,17.8,15.7,999.5,1009.5,0.0,0.0,0.0,10,10,712,17.3,2,0
2020-06-01 06:00:00,16.7,0.1,3.4,290,90,17.0,15.0,999.8,1009.8,0.0,0.04,0.0,4,4,1588,16.7,19,6
2020-06-01 06:00:00,16.7,0.1,3.4,290,90,17.0,15.0,999.8,1009.8,0.0,0.04,0.0,4,4,1588,16.7,2,6
2020-06-01 07:00:00,16.9,0.1,2.3,290,86,16.5,14.5,1000.0,1010.0,0.1,0.32,0.0,8,8,1589,18.4,0,5
2020-06-01 08:00:00,17.8,0.1,3.3,290,80,16.2,14.2,1000.2,1010.2,0.3,0.85,0.0,7,7,1443,21.4,0,16
2020-06-01 09:00:00,19.3,0.1,2.1,320,73,16.3,14.3,1000.2,1010.1,0.7,1.71,0.0,2,2,1849,27.6,0,16
2020-06-01 10:00:00,20.5,0.1,3.4,270,62,14.9,12.9,999.9,1009.8,1.0,2.65,0.0,1,1,1855,31.1,0,11
2020-06-01 11:00:00,22.1,0.1,3.6,290,52,13.7,11.7,999.6,1009.4,1.0,3.29,0.0,1,1,1973,37.1,0,14
