date,temp,rain,wind_spd,wind_dir,humid,vaper_press,dew_point,local_press,sea_press,sunshine,insolation,snow,cloud,low-mid_cloud,visibility,ground_temp,phenomena,count
2020-01-01 00:00:00,-6.5,0.0,0.0,0,38,1.4,-18.5,1022.6,1033.8,0.0,0.0,0.0,9,9,2000,-2.8,5,0
2020-01-01 01:00:00,-5.9,0.0,1.7,50,40,1.6,-17.3,1021.8,1033.0,0.0,0.0,0.0,9,9,2000,-2.4,5,0
2020-01-01 02:00:00,-5.7,0.0,0.1,0,42,1.7,-16.5,1021.6,1032.8,0.0,0.0,0.0,9,9,1988,-2.4,5,0
2020-01-01 03:00:00,-5.6,0.0,0.0,0,46,1.8,-15.4,1021.5,1032.7,0.0,0.0,0.0,9,9,2000,-2.7,5,0
2020-01-01 04:00:00,-5.4,0.0,0.0,0,50,2.0,-14.2,1021.6,1032.8,0.0,0.0,0.0,8,8,1908,-2.5,5,0
2020-01-01 05:00:00,-5.2,0.0,0.0,0,55,2.3,-12.8,1021.1,1032.3,0.0,0.0,0.0,9,9,1999,-2.2,5,0
2020-01-01 06:00:00,-4.8,0.0,1.9,70,58,2.5,-11.8,1021.3,1032.5,0.0,0.0,0.0,9,9,1984,-2.1,5,0
2020-01-01 07:00:00,-4.6,0.0,2.1,50,62,2.7,-10.7,1021.6,1032.8,0.0,0.0,0.0,9,9,1501,-2.0,5,0
2020-01-01 08:00:00,-4.6,0.0,1.8,50,64,2.8,-10.3,1021.7,1032.9,0.0,0.0,0.0,9,9,1684,-1.9,5,4
2020-01-01 09:00:00,-4.3,0.0,2.3,50,70,3.1,-8.9,1022.2,1033.4,0.0,0.04,0.0,9,9,736,-1.6,40,10
2020-01-01 09:00:00,-4.3,0.0,2.3,50,70,3.1,-8.9,1022.2,1033.4,0.0,0.04,0.0,9,9,736,-1.6,5,10
2020-01-01 10:00:00,-4.2,0.0,1.9,70,76,3.4,-7.8,1022.8,1034.0,0.0,0.17,0.0,9,9,418,-1.1,5,3
2020-01-01 10:00:00,-4.2,0.0,1.9,70,76,3.4,-7.8,1022.8,1034.0,0.0,0.17,0.0,9,9,418,-1.1,19,3
2020-01-01 10:00:00,-4.2,0.0,1.9,70,76,3.4,-7.8,1022.8,1034.0,0.0,0.17,0.0,9,9,418,-1.1,40,3
2020-01-01 11:00:00,-3.4,0.0,1.5,70,75,3.6,-7.2,1022.4,1033.5,0.0,0.41,0.0,9,9,613,-0.4,5,4
2020-01-01 11:00:00,-3.4,0.0,1.5,70,75,3.6,-7.2,1022.4,1033.5,0.0,0.41,0.0,9,9,613,-0.4,19,4
2020-01-01 12:00:00,-2.2,0.1,1.7,50,72,3.8,-6.5,1021.4,1032.4,0.5,1.0,0.0,9,9,1117,-0.1,5,5
2020-01-01 12:00:00,-2.2,0.1,1.7,50,72,3.8,-6.5,1021.4,1032.4,0.5,1.0,0.0,9,9,1117,-0.1,19,5
2020-01-01 13:00:00,-1.0,0.1,1.6,90,67,3.8,-6.3,1020.6,1031.6,0.0,0.93,0.0,9,9,1209,0.4,0,8
2020-01-01 14:00:00,-0.4,0.1,1.2,90,65,3.9,-6.1,1020.5,1031.5,0.0,0.89,0.0,9,9,1226,0.4,0,12
2020-01-01 15:00:00,0.3,0.1,0.0,0,62,3.9,-6.1,1020.4,1031.3,0.3,0.68,0.0,9,9,1179,0.8,0,11
2020-01-01 16:00:00,0.3,0.1,0.0,0,64,4.0,-5.7,1020.8,1031.7,0.0,0.32,0.0,9,9,1137,0.1,0,8
2020-01-01 17:00:00,0.2,0.1,0.9,290,65,4.0,-5.6,1020.8,1031.7,0.0,0.09,0.0,9,9,1128,-0.2,0,5
2020-01-01 18:00:00,0.1,0.1,0.8,50,66,4.1,-5.5,1020.8,1031.8,0.0,0.0,0.0,9,9,1084,-0.1,0,1
2020-01-01 19:00:00,0.1,0.1,0.3,0,65,4.0,-5.7,1020.8,1031.8,0.0,0.0,0.0,9,9,1055,-0.1,0,2
2020-01-01 20:00:00,0.0,0.1,1.7,70,67,4.1,-5.4,1020.5,1031.5,0.0,0.0,0.0,9,9,1005,-0.1,0,1
2020-01-01 21:00:00,-0.4,0.1,2.5,50,71,4.2,-5.0,1020.7,1031.7,0.0,0.0,0.0,8,8,886,-0.3,40,0
2020-01-01 22:00:00,-0.9,0.1,1.5,50,71,4.1,-5.5,1020.8,1031.8,0.0,0.0,0.0,8,8,897,-0.3,40,2
2020-01-01 23:00:00,-0.9,0.1,1.0,50,70,4.0,-5.6,1021.0,1032.0,0.0,0.0,0.0,9,9,895,-0.3,40,1
2020-01-02 00:00:00,-0.7,0.1,2.1,70,70,4.1,-5.5,1020.3,1031.3,0.0,0.0,0.0,9,9,897,-0.4,40,0
2020-01-02 01:00:00,-0.7,0.1,2.2,50,72,4.2,-5.1,1019.8,1030.8,0.0,0.0,0.0,8,8,857,-0.3,40,0
2020-01-02 02:00:00,-0.6,0.1,2.2,70,70,4.1,-5.4,1019.4,1030.4,0.0,0.0,0.0,9,9,887,-0.4,40,0
2020-01-02 03:00:00,-0.6,0.1,2.3,70,70,4.1,-5.4,1019.3,1030.3,0.0,0.0,0.0,9,9,903,-0.4,40,0
2020-01-02 04:00:00,-0.7,0.1,2.1,50,70,4.1,-5.5,1019.3,1030.3,0.0,0.0,0.0,9,9,884,-0.4,40,0
2020-01-02 05:00:00,-0.5,0.1,1.5,20,67,4.0,-5.8,1019.3,1030.2,0.0,0.0,0.0,9,9,964,-0.5,40,0
2020-01-02 06:00:00,-0.6,0.1,1.7,50,69,4.1,-5.5,1019.4,1030.4,0.0,0.0,0.0,9,9,913,-0.5,40,0
2020-01-02 07:00:00,-0.5,0.1,1.9,50,65,3.8,-6.2,1019.6,1030.6,0.0,0.0,0.0,9,9,993,-0.6,40,13
2020-01-02 08:00:00,-0.4,0.1,2.3,70,67,4.0,-5.7,1019.6,1030.5,0.0,0.0,0.0,9,9,907,-0.6,40,11
2020-01-02 09:00:00,-0.1,0.1,2.4,70,67,4.1,-5.5,1020.1,1031.1,0.0,0.07,0.0,9,9,890,-0.3,40,8
2020-01-02 10:00:00,0.7,0.1,2.0,50,62,4.0,-5.7,1020.1,1031.0,0.0,0.28,0.0,9,9,876,-0.2,40,11
2020-01-02 11:00:00,1.7,0.1,2.0,50,57,3.9,-5.9,1019.9,1030.8,0.0,0.59,0.0,9,9,854,0.0,40,9
2020-01-02 12:00:00,2.5,0.1,1.0,50,56,4.1,-5.4,1019.0,1029.8,0.0,0.64,0.0,9,9,803,0.9,40,9
2020-01-02 13:00:00,3.4,0.1,1.8,200,56,4.4,-4.5,1017.9,1028.7,0.0,0.67,0.0,9,9,720,1.7,40,7
2020-01-02 14:00:00,3.7,0.1,2.3,290,58,4.6,-3.8,1017.5,1028.2,0.0,0.45,0.0,9,9,788,1.3,40,9
2020-01-02 15:00:00,3.8,0.1,2.8,290,58,4.6,-3.7,1017.8,1028.5,0.0,0.4,0.0,9,9,699,1.5,40,14
2020-01-02 16:00:00,3.7,0.1,2.5,290,58,4.6,-3.8,1017.9,1028.7,0.0,0.27,0.0,9,9,641,1.0,40,4
2020-01-02 17:00:00,3.3,0.1,3.1,270,62,4.8,-3.2,1017.9,1028.7,0.0,0.1,0.0,9,9,603,0.5,40,1
2020-01-02 18:00:00,2.7,0.1,2.2,270,61,4.5,-4.0,1017.5,1028.3,0.0,0.0,0.0,7,7,642,-0.7,40,1
2020-01-02 19:00:00,2.0,0.1,2.0,290,64,4.5,-4.1,1017.8,1028.6,0.0,0.0,0.0,0,0,625,-0.1,40,1
2020-01-02 20:00:00,1.2,0.1,0.7,320,66,4.4,-4.4,1018.0,1028.9,0.0,0.0,0.0,0,0,570,-0.3,40,1
2020-01-02 21:00:00,0.5,0.1,0.9,270,68,4.3,-4.7,1018.3,1029.2,0.0,0.0,0.0,8,8,537,-0.4,40,0
2020-01-02 22:00:00,0.3,0.1,0.4,0,70,4.4,-4.5,1018.2,1029.1,0.0,0.0,0.0,0,0,511,-0.5,40,0
2020-01-02 23:00:00,-0.4,0.1,1.5,270,74,4.4,-4.4,1018.2,1029.1,0.0,0.0,0.0,0,0,489,-0.8,40,0
2020-01-03 00:00:00,0.0,0.1,2.6,270,74,4.5,-4.0,1017.9,1028.8,0.0,0.0,0.0,3,3,481,-0.8,40,0
2020-01-03 01:00:00,-0.5,0.1,1.4,290,78,4.6,-3.8,1017.8,1028.7,0.0,0.0,0.0,2,2,406,-1.0,40,1
2020-01-03 02:00:00,-1.1,0.1,1.4,360,80,4.5,-4.1,1017.7,1028.7,0.0,0.0,0.0,0,0,373,-1.4,40,0
2020-01-03 02:00:00,-1.1,0.1,1.4,360,80,4.5,-4.1,1017.7,1028.7,0.0,0.0,0.0,0,0,373,-1.4,19,0
2020-01-03 03:00:00,-1.5,0.1,1.5,290,82,4.5,-4.1,1017.2,1028.2,0.0,0.0,0.0,0,0,358,-1.6,19,0
